Topic,Count,Theme,Keywords
69,32,Algorithm and NLP Tasks,69_probing_probe_linguistic_probes
70,32,Medical and Engineering Applications,70_geant4_resistivity_proton_physics
71,31,Medical and Engineering Applications,71_malware_phishing_malicious_url
72,31,Medical and Engineering Applications,72_clickbait_hadith_deception_deceptive
73,31,Social and Humanitarian Applications,73_idiom_words_idioms_polysemy
74,31,Algorithm and NLP Tasks,74_commonsense_reasoning_knowledge_sense
75,30,Medical and Engineering Applications,75_clinical_medical_notes_placebos
76,30,Algorithm and NLP Tasks,76_knowledge_question_complex_answering
77,30,Algorithm and NLP Tasks,77_multimodal_audio_modality_modalities
78,30,Algorithm and NLP Tasks,78_comprehension_mrc_reading_answer
79,29,Remove,79_species_araucaria_angustifolia_genetic
80,29,Algorithm and NLP Tasks,80_sentence_similarity_sts_sentences
81,29,Social and Humanitarian Applications,81_patent_patents_innovation_fintech
82,28,Algorithm and NLP Tasks,82_image_multimodal_images_crossmodal
83,28,Algorithm and NLP Tasks,83_qa_question_questions_answer
84,28,Algorithm and NLP Tasks,84_tts_prosody_polyphone_texttospeech
85,28,Algorithm and NLP Tasks,85_sentiment_sentence_representation_semantics
86,28,Algorithm and NLP Tasks,86_chatbot_virtual_agent_aidir
87,27,Medical and Engineering Applications,87_biomedical_advice_precision_medical
88,27,Medical and Engineering Applications,88_clinical_similarity_sts_clinicalsts
89,27,Medical and Engineering Applications,89_geological_geoscience_address_addresses
90,27,Algorithm and NLP Tasks,90_dialogue_dst_tracking_dialog
91,27,Algorithm and NLP Tasks,91_sentiment_dependency_syntactic_aspect
92,26,Algorithm and NLP Tasks,92_table_tables_columns_column
93,26,Algorithm and NLP Tasks,93_discourse_ordering_implicit_sentence
94,26,Infrastructure,94_quantization_hardware_accelerator_rerambased
95,26,Medical and Engineering Applications,95_drug_tweets_health_adverse
96,26,Algorithm and NLP Tasks,96_masked_mlm_autoregressive_pretraining
97,26,Medical and Engineering Applications,97_seizure_remedi_medical_care
98,26,Remove,98_pt_catalysts_hydrogen_catalyst
99,26,Medical and Engineering Applications,99_drug_drugs_biomedical_ds
100,26,Algorithm and NLP Tasks,100_classification_text_feature_short
101,25,Algorithm and NLP Tasks,101_style_gpt2_writing_dsi
102,25,Algorithm and NLP Tasks,102_sign_video_sketch_image
103,24,Algorithm and NLP Tasks,103_emotion_emotions_multilabel_emotional
104,24,Algorithm and NLP Tasks,104_generation_revision_text_revisions
105,24,Social and Humanitarian Applications,105_paraphrase_paraphrases_plagiarism_identification
106,24,Algorithm and NLP Tasks,106_punctuation_disfluency_speech_asr
107,24,Social and Humanitarian Applications,107_financial_finbert_finsim2_domain
108,23,Social and Humanitarian Applications,108_essay_aes_scoring_essays
109,23,Social and Humanitarian Applications,109_mooc_cognitive_students_moocs
110,23,Social and Humanitarian Applications,110_gender_author_profiling_social
111,23,Algorithm and NLP Tasks,111_adapters_adapter_token_rpt
112,23,Algorithm and NLP Tasks,112_stance_argument_arguments_debate
113,22,Social and Humanitarian Applications,113_hashtags_hashtag_tweet_user
114,22,Algorithm and NLP Tasks,114_dependency_graph_syntactic_structure
115,22,Medical and Engineering Applications,115_requirements_software_nonfunctional_requirement
116,22,Social and Humanitarian Applications,116_parsing_constituency_dependency_parser
117,21,Social and Humanitarian Applications,117_graph_web_page_text
118,21,Algorithm and NLP Tasks,118_emotion_multimodal_audio_recognition
119,21,Algorithm and NLP Tasks,119_opinion_sentiment_arabic_reviews
120,20,Algorithm and NLP Tasks,120_domain_adaptation_domainspecific_domains
121,20,Social and Humanitarian Applications,121_topics_public_food_safety
122,20,Algorithm and NLP Tasks,122_urdu_arabic_sentiment_roman
123,20,Algorithm and NLP Tasks,123_arabic_multitopic_mowjaz_arabert
124,20,Algorithm and NLP Tasks,124_softmax_robustness_drift_outofdistribution
125,20,Critical studies,125_privacy_traffic_sensitive_policies
126,20,Algorithm and NLP Tasks,126_multilabel_labels_classification_label
127,20,Algorithm and NLP Tasks,127_fewshot_prompt_gpt3_incontext
128,19,Algorithm and NLP Tasks,128_document_classification_long_documents
129,19,Algorithm and NLP Tasks,129_selfattention_redundancy_convolutions_finetuning
130,19,Algorithm and NLP Tasks,130_chengyu_pictogram_ukrainian_bert4tc
131,19,Algorithm and NLP Tasks,131_matching_siamese_retrieval_sarcnn
132,18,Social and Humanitarian Applications,132_rumor_rumors_cantonese_weibo
133,18,Medical and Engineering Applications,133_hpv_answering_answers_question
134,18,Algorithm and NLP Tasks,134_biases_spurious_causal_visiolinguistic
135,18,Algorithm and NLP Tasks,135_trajectory_traffic_missing_trajectories
136,18,Social and Humanitarian Applications,136_covid19_misinformation_conspiracy_fake
137,18,Medical and Engineering Applications,137_adverse_drug_adr_ade
138,17,Algorithm and NLP Tasks,138_crossdomain_domain_adaptation_domains
139,17,Social and Humanitarian Applications,139_personality_traits_items_psycholinguistic
140,17,Algorithm and NLP Tasks,140_fewshot_label_zeroshot_labels
141,17,Algorithm and NLP Tasks,141_backdoor_steganalysis_steganography_attacks
142,17,Algorithm and NLP Tasks,142_dcs_transformers_cbtc_slr
143,17,Social and Humanitarian Applications,143_covid19_literature_scientific_preprint
144,16,Social and Humanitarian Applications,144_story_game_creative_writers
145,16,Social and Humanitarian Applications,145_evidence_claim_claims_factchecking
146,16,Algorithm and NLP Tasks,146_keyphrase_keyphrases_coherence_extraction
147,16,Algorithm and NLP Tasks,147_federated_gradient_clients_sgd
148,16,Social and Humanitarian Applications,148_product_ecommerce_attribute_products
149,15,Algorithm and NLP Tasks,149_typing_entity_ultrafine_tagging
150,15,Social and Humanitarian Applications,150_sports_question_tourism_answering
151,15,Algorithm and NLP Tasks,151_srl_parsing_labeling_role
152,15,Algorithm and NLP Tasks,152_sense_wsd_disambiguation_word
153,15,Medical and Engineering Applications,153_biomedical_ner_recognition_entity
154,14,Social and Humanitarian Applications,154_homes_estate_investment_smart
155,14,Algorithm and NLP Tasks,155_multitask_mtdnn_jiant_gradts
156,14,Algorithm and NLP Tasks,156_formality_sentence_dibert_khasi
157,14,Social and Humanitarian Applications,157_spam_emails_sms_email
158,14,Social and Humanitarian Applications,158_stress_tweets_twitter_buzz
159,14,Algorithm and NLP Tasks,159_arithmetic_solving_problems_story
160,13,Social and Humanitarian Applications,160_job_recruitment_skills_resume
161,13,Social and Humanitarian Applications,161_lyrics_poetry_poems_clarity
162,13,Medical and Engineering Applications,162_staff_patient_anxiety_patients
163,13,Algorithm and NLP Tasks,163_lifelong_forgetting_catastrophic_update
164,13,Social and Humanitarian Applications,164_movie_recommendation_book_recommender
165,13,Algorithm and NLP Tasks,165_russian_complexity_outofmanifold_consert
166,13,Social and Humanitarian Applications,166_political_bots_violence_republicans
167,13,Algorithm and NLP Tasks,167_korean_gsl_spacing_postpositions
168,12,Social and Humanitarian Applications,168_segmentation_story_paragraph_novels
169,12,Social and Humanitarian Applications,169_bias_political_youtubes_news
170,12,Algorithm and NLP Tasks,170_coreference_resolution_italian_mention
171,11,Algorithm and NLP Tasks,171_hyperspectral_hsibert_stellar_spectra
172,11,Algorithm and NLP Tasks,172_mrc_comprehension_reading_knowledge
173,11,Algorithm and NLP Tasks,173_asr_speech_slu_spoken
174,11,Social and Humanitarian Applications,174_service_services_web_composition
175,11,Algorithm and NLP Tasks,175_amr_sequence_earlyexit_bidkt
176,10,Algorithm and NLP Tasks,176_generation_action_story_stories
177,10,Algorithm and NLP Tasks,177_event_enterprise_hotline_abbreviations
178,10,Algorithm and NLP Tasks,178_pronoun_resolution_gendered_coreference
179,9,Algorithm and NLP Tasks,179_relation_fewshot_metricbased_unseen
180,9,Algorithm and NLP Tasks,180_active_al_ltp_annotation
181,8,Social and Humanitarian Applications,181_email_emails_sales_transfer
182,8,Algorithm and NLP Tasks,182_simplification_substitute_lexical_candidates
183,8,Algorithm and NLP Tasks,183_change_lexical_shifts_contextualised
184,8,Social and Humanitarian Applications,184_recipe_cooking_recipes_ingredient
185,8,Algorithm and NLP Tasks,185_plms_text2chart_chart_explanations
186,8,Algorithm and NLP Tasks,186_metaphor_metaphorical_vua_metaphors
187,8,Algorithm and NLP Tasks,187_negation_divergences_multilingual_analogy
188,8,Algorithm and NLP Tasks,188_barthez_french_lengthbased_curricula
189,7,Medical and Engineering Applications,189_synthesis_program_wrangling_programming
190,7,Algorithm and NLP Tasks,190_typos_hyperparameters_flitext_queries
191,7,Algorithm and NLP Tasks,191_chinese_fasthan_ancient_anchibert
192,6,Social and Humanitarian Applications,192_poetry_sensory_classical_va
193,6,Medical and Engineering Applications,193_military_chis_identifiers_manufacturing
194,6,Algorithm and NLP Tasks,194_reading_comprehension_crosslingual_czech
195,5,Medical and Engineering Applications,195_covid19_pandemic_relationships_spatial
196,5,Algorithm and NLP Tasks,196_kerasbert_equivalence_judging_processbert
197,4,Social and Humanitarian Applications,197_music_sheet_musical_instrument
198,4,Algorithm and NLP Tasks,198_coherence_utterancepair_ffcd_unilm
199,4,Algorithm and NLP Tasks,199_ranking_hypotheses_nbest_reranking
